team_name,category,model,livery,championship_names,livery_id,model_folder
A. J. Foyt Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #06,NTT IndyCar,57,formula_usa_2023
A. J. Foyt Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #55,NTT IndyCar,78,formula_usa_2023
A. J. Foyt Racing,F-Reiza,Formula V8 Gen3,energyX Faenza #5,Indy NXT,55,formula_reiza
A. J. Foyt Racing,F-Reiza,Formula V8 Gen3,energyX Faenza #6,Indy NXT,56,formula_reiza
A. J. Foyt Racing,F-3,Dallara F309,Power On Racing #86,USF Pro 2000,67,f309
A. J. Foyt Racing,F-3,Dallara F309,Prop Racing #17,USF Pro 2000,58,f309
A. J. Foyt Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #82,USF2000,69,formula_inter
A. J. Foyt Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #91,USF2000,70,formula_inter
Abel Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #33,USF2000,66,formula_inter
Abel Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #36,USF2000,67,formula_inter
Abel Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #14,USF Junior,64,formula_trainer_d
Abel Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #15,USF Junior,65,formula_trainer_d
Abel Motorsports,F-Trainer,Formula Trainer,Formula Trainer #22 - F.Scomasson Skin,F1600,72,formula_trainer
Abel Motorsports,F-Trainer,Formula Trainer,Formula Trainer #23 - N.Otten Skin,F1600,73,formula_trainer
Abel Motorsports,F-Vee_Gen2,Formula Vee Gen2,Andre Crocci #6,Formula Vee North America,54,formula_vee_gen2
Abel Motorsports,F-Vee_Gen2,Formula Vee Gen2,Davi Osachuki #35,Formula Vee North America,60,formula_vee_gen2
Adria Motorsport Venture,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #48,Lamborghini Super Trofeo Europe,65,lamborghini_huracan_supertrofeo_evo2
Adria Motorsport Venture,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #50,Lamborghini Super Trofeo Europe,66,lamborghini_huracan_supertrofeo_evo2
Adria Motorsport Venture,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #007,World Endurance Championship,52,aston_martin_valkyrie_lmh
Adria Motorsport Venture,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #009,World Endurance Championship,53,aston_martin_valkyrie_lmh
Adria Motorsport Venture,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #42,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe",55,aston_martin_vantage_gt3_evo
Adria Motorsport Venture,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #73,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe",56,aston_martin_vantage_gt3_evo
Adria Motorsport Venture,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #22,"European Le Mans Series, Michelin Le Mans Cup",51,audi_r8_lms_gt3
Adria Motorsport Venture,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #69,"European Le Mans Series, Michelin Le Mans Cup",52,audi_r8_lms_gt3
Adria Motorsport Venture,LMP2_Gen1,Ligier JS P217,Ligier JS P217 #10,European Le Mans Series,51,ligier_js_p217
Adria Motorsport Venture,P1Gen2,Ligier JS P320,Ligier JS P320 #15,Michelin Le Mans Cup,53,ligier_js_p320
Adria Motorsport Venture,P4,MCR S2000,MCR S2000 #3,Radical Cup Europe,52,mcr2000
Adria Motorsport Venture,P4,MCR S2000,MCR S2000 #4,Radical Cup Europe,53,mcr2000
Adria Motorsport Venture,P1Gen2,Ligier JS P320,Ligier JS P320 #10,"European Le Mans Series, Michelin Le Mans Cup",52,ligier_js_p320
Adria Motorsport Venture,P1Gen2,Ligier JS P320,Ligier JS P320 #15,European Le Mans Series,53,ligier_js_p320
Alpine,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Team Virystone #15,Formula 1,54,formula_ultimate_2024
Alpine,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Team Virystone #2,Formula 1,53,formula_ultimate_2024
Alpine,F-Reiza,Formula V8 Gen3,Team Virystone #11,Formula 2,61,formula_reiza
Alpine,F-Reiza,Formula V8 Gen3,Team Virystone #12,Formula 2,62,formula_reiza
Alpine,F-3,Dallara F309,Mellow Motorsports #7 - L.Nogueira Skin,Formula 3,54,f309
Alpine,F-3,Dallara F309,Pacific G.P. #37 - T.Emanuel Skin,Formula 3,63,f309
Alpine Track Operations,LMP2_Gen1,Oreca 07,Oreca 07 #15,European Le Mans Series,51,oreca_07
Alpine Track Operations,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #55,Lamborghini Super Trofeo Europe,67,lamborghini_huracan_supertrofeo_evo2
Alpine Track Operations,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #64,Lamborghini Super Trofeo Europe,68,lamborghini_huracan_supertrofeo_evo2
Alpine Track Operations,LMDh,Alpine A424,Alpine A424 #36,World Endurance Championship,51,alpine_a424
Alpine Track Operations,LMDh,Alpine A424,Alpine A424 #37,World Endurance Championship,52,alpine_a424
Alpine Track Operations,GT3,McLaren 720S GT3,McLaren 720S GT3 #04,"European Le Mans Series, Michelin Le Mans Cup",51,mclaren_720s_gt3
Alpine Track Operations,GT3,McLaren 720S GT3,McLaren 720S GT3 #12,"European Le Mans Series, Michelin Le Mans Cup",52,mclaren_720s_gt3
Alpine Track Operations,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #59,"Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",56,mclaren_720s_gt3_evo
Alpine Track Operations,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #41,"Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",55,mclaren_720s_gt3_evo
Alpine Track Operations,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #36,Nürburgring Langstrecken-Serie,51,alpine_a110_gt4_evo
Alpine Track Operations,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #63,Nürburgring Langstrecken-Serie,53,alpine_a110_gt4_evo
Alpine Track Operations,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #22,Michelin Le Mans Cup,54,ginetta_g58_gen2
Alpine Track Operations,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #01,Ginetta Junior Championship Europe,51,ginetta_g40_cup
Alpine Track Operations,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #02,Ginetta Junior Championship Europe,52,ginetta_g40_cup
Alpine Track Operations,P4,MCR S2000,MCR S2000 #5,Radical Cup Europe,54,mcr2000
Alpine Track Operations,P4,MCR S2000,MCR S2000 #6,Radical Cup Europe,55,mcr2000
Alpine Track Operations,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #21,"European Le Mans Series, Michelin Le Mans Cup",53,ginetta_g58_gen2
Alpine Track Operations,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #20,European Le Mans Series,52,ginetta_g58_gen2
Andretti Global,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #01 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, World Endurance Championship",51,cadillac_v-series_r
Andretti Global,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #31 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, World Endurance Championship",52,cadillac_v-series_r
Andretti Global,F-USA_2023,Formula USA 2023,F-USA 2023 #23,NTT IndyCar,72,formula_usa_2023
Andretti Global,F-USA_2023,Formula USA 2023,F-USA 2023 #01,NTT IndyCar,52,formula_usa_2023
Andretti Global,F-USA_2023,Formula USA 2023,F-USA 2023 #17,NTT IndyCar,68,formula_usa_2023
Andretti Global,F-3,Dallara F309,Granado Racing #59,USF Pro 2000,64,f309
Andretti Global,F-3,Dallara F309,GRNDWRK Racing #18 - R.Souza Skin,USF Pro 2000,59,f309
Andretti Global,F-Inter,Formula Inter MG-15,F.Inter MG-15 #11,USF2000,59,formula_inter
Andretti Global,F-Inter,Formula Inter MG-15,F.Inter MG-15 #12,USF2000,60,formula_inter
Andretti Global,F-Trainer_A,Formula Trainer Advanced,Formula Trainer A #23 - N.Otten Skin,USF Junior,73,formula_trainer_d
Andretti Global,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #1,USF Junior,51,formula_trainer_d
Andretti Global,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #13 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint, World Endurance Championship, IMSA WeatherTech SportsCar Championship",53,corvette_z06_gt3r
Andretti Global,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #17 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint, World Endurance Championship, IMSA WeatherTech SportsCar Championship",54,corvette_z06_gt3r
Apex Precision Competizione,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #20,"Porsche Carrera Supercup, Porsche Carrera Cup North America",55,porsche_991_gt3_2
Apex Precision Competizione,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #29,"Porsche Carrera Supercup, Porsche Carrera Cup North America",56,porsche_991_gt3_2
Apex Precision Competizione,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #43 (IMSA 2024),GT World Challenge Sprint,51,porsche_992_gt3r
Apex Precision Competizione,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #92 (IMSA 2024),GT World Challenge Sprint,54,porsche_992_gt3r
Apex-Works North,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #27,"Mini Challenge, IMSA Michelin Pilot Challenge",63,mini_cooper
Apex-Works North,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #28,"Mini Challenge, IMSA Michelin Pilot Challenge",64,mini_cooper
Apex-Works North,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #32,Ginetta Junior Championship UK,61,ginetta_g40_cup
Apex-Works North,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #34,Ginetta Junior Championship UK,62,ginetta_g40_cup
Aragon Motorsport United,F-Inter,Formula Inter MG-15,F.Inter MG-15 #3a,FRECA,51,formula_inter
Aragon Motorsport United,F-Inter,Formula Inter MG-15,F.Inter MG-15 #3b,FRECA,55,formula_inter
Aragon Motorsport United,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #18,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",68,formula_trainer_d
Aragon Motorsport United,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #19,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",69,formula_trainer_d
Aragon Motorsport United,F-Trainer,Formula Trainer,Formula Trainer #20,National Formula Ford Championship,70,formula_trainer
Aragon Motorsport United,F-Trainer,Formula Trainer,Formula Trainer #21 - J.Ramos Skin,National Formula Ford Championship,71,formula_trainer
Arcane Racing Group,LMP2_Gen1,Ligier JS P217,Ligier JS P217 #31,European Le Mans Series,52,ligier_js_p217
Arcane Racing Group,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #72,Lamborghini Super Trofeo Europe,71,lamborghini_huracan_supertrofeo_evo2
Arcane Racing Group,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #77,Lamborghini Super Trofeo Europe,72,lamborghini_huracan_supertrofeo_evo2
Arcane Racing Group,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #5,World Endurance Championship,53,cadillac_v-series_r
Arcane Racing Group,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #9,World Endurance Championship,54,cadillac_v-series_r
Arcane Racing Group,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #3 (IMSA 2024),"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",51,corvette_z06_gt3r
Arcane Racing Group,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #4 (IMSA 2024),"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",52,corvette_z06_gt3r
Arcane Racing Group,GT4,Chevrolet Camaro GT4.R,Camaro GT4.R #49,Nürburgring Langstrecken-Serie,51,camaro_gt4r
Arcane Racing Group,GT4,Chevrolet Camaro GT4.R,Camaro GT4.R #53,Nürburgring Langstrecken-Serie,52,camaro_gt4r
Arcane Racing Group,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #79,"European Le Mans Series, Michelin Le Mans Cup",53,audi_r8_lms_gt3
Arcane Racing Group,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #86,"European Le Mans Series, Michelin Le Mans Cup",54,audi_r8_lms_gt3
Arcane Racing Group,P1Gen2,Ligier JS P320,Ligier JS P320 #33,Michelin Le Mans Cup,54,ligier_js_p320
Arcane Racing Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #10,Ginetta Junior Championship Europe,55,ginetta_g40_cup
Arcane Racing Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #17,Ginetta Junior Championship Europe,56,ginetta_g40_cup
Arcane Racing Group,P4,MCR S2000,MCR S2000 #9,Radical Cup Europe,57,mcr2000
Arcane Racing Group,P4,MCR S2000,MCR S2000 #10,Radical Cup Europe,58,mcr2000
Arcane Racing Group,P1Gen2,Ligier JS P320,Ligier JS P320 #7,"European Le Mans Series, Michelin Le Mans Cup",51,ligier_js_p320
Arcane Racing Group,P1Gen2,Ligier JS P320,Ligier JS P320 #117,European Le Mans Series,55,ligier_js_p320
Aston Martin,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Bond G.P. #3,Formula 1,55,formula_ultimate_2024
Aston Martin,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Bond G.P. #5,Formula 1,56,formula_ultimate_2024
Aston Martin,F-Reiza,Formula V8 Gen3,Reizoil G.P. #24,Formula 2,73,formula_reiza
Aston Martin,F-Reiza,Formula V8 Gen3,Reizoil G.P. #25,Formula 2,74,formula_reiza
Aston Martin,F-3,Dallara F309,Index Racing #77 - R.Cascaes Skin,Formula 3,65,f309
Aston Martin,F-3,Dallara F309,Luminis Engineering #34,Formula 3,62,f309
Astraea Endurance,P1Gen2,Sigma P1 G5,Sigma P1 G5 #85,Michelin Le Mans Cup,54,sigma_p1_g5
Astraea Endurance,P1Gen2,Ligier JS P320,Ligier JS P320 #117,Michelin Le Mans Cup,55,ligier_js_p320
Astraea Endurance,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #46,Ginetta Junior Championship Europe,65,ginetta_g40_cup
Astraea Endurance,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #58,Ginetta Junior Championship Europe,68,ginetta_g40_cup
Astraea Endurance,P4,MCR S2000,MCR S2000 #19,Radical Cup Europe,66,mcr2000
Astraea Endurance,P4,MCR S2000,MCR S2000 #30,Radical Cup Europe,75,mcr2000
Atlantic Racing Union,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #77,"IMSA Michelin Pilot Challenge, Mini Challenge",71,mini_cooper
Atlantic Racing Union,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #85,"IMSA Michelin Pilot Challenge, Mini Challenge",72,mini_cooper
Atlantic Racing Union,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #62,"Ginetta Junior Championship UK, Ginetta Junior Championship North America, Ginetta Junior Championship Europe",69,ginetta_g40_cup
Atlantic Racing Union,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #66,"Ginetta Junior Championship UK, Ginetta Junior Championship North America, Ginetta Junior Championship Europe",70,ginetta_g40_cup
Atlas Racing Group,GT3_Gen2,Lamborghini Huracan GT3 EVO2,Lamborghini Huracan GT3 EVO2 #45 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America, GT World Challenge Sprint",52,lamborghini_huracan_gt3_evo2
Atlas Racing Group,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #41,"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America, GT World Challenge Sprint",55,mclaren_720s_gt3_evo
Atlas Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #12,IMSA Michelin Pilot Challenge,52,audi_r8_lms_gt4
Atlas Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #15,IMSA Michelin Pilot Challenge,53,audi_r8_lms_gt4
Atlas Racing Group,GT3,McLaren 720S GT3,McLaren 720S GT3 #04,IMSA VP Racing SportsCar Challenge,51,mclaren_720s_gt3
Atlas Racing Group,GT3,McLaren 720S GT3,McLaren 720S GT3 #12,IMSA VP Racing SportsCar Challenge,52,mclaren_720s_gt3
Atlas Racing Group,P4,MCR S2000,MCR S2000 #15,Radical Cup North America,63,mcr2000
Atlas Racing Group,P4,MCR S2000,MCR S2000 #29,Radical Cup North America,74,mcr2000
Audi,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Zir-Win Motorsport #17,Formula 1,61,formula_ultimate_2024
Audi,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Zir-Win Motorsport #28,Formula 1,62,formula_ultimate_2024
Audi,F-Reiza,Formula V8 Gen3,Zir-Win Motorsport #1,Formula 2,51,formula_reiza
Audi,F-Reiza,Formula V8 Gen3,Zir-Win Motorsport #2,Formula 2,52,formula_reiza
Audi,F-3,Dallara F309,Power On Racing #86,Formula 3,67,f309
Audi,F-3,Dallara F309,Prop Racing #17,Formula 3,58,f309
Bayside Trackside Services,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #50,Ginetta Junior Championship North America,66,ginetta_g40_cup
Bayside Trackside Services,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #53,Ginetta Junior Championship North America,67,ginetta_g40_cup
Blackwood Racing Systems,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #14,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",54,porsche_991_gt3_2
Blackwood Racing Systems,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #16,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",54,porsche_991_gt3
Blue Ridge Mini Team,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #1,"IMSA Michelin Pilot Challenge, Mini Challenge",52,mini_cooper
Blue Ridge Mini Team,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #3,"IMSA Michelin Pilot Challenge, Mini Challenge",53,mini_cooper
Breakell-Lane Engineering,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #32,Mini Challenge,65,mini_cooper
Breakell-Lane Engineering,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #60,Mini Challenge,68,mini_cooper
Breakell-Lane Engineering,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #38,Ginetta Junior Championship UK,63,ginetta_g40_cup
Breakell-Lane Engineering,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #42,Ginetta Junior Championship UK,64,ginetta_g40_cup
Brickyard Performance Lab,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #55,Lamborghini Super Trofeo North America,67,lamborghini_huracan_supertrofeo_evo2
Brickyard Performance Lab,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #64,Lamborghini Super Trofeo North America,68,lamborghini_huracan_supertrofeo_evo2
Brickyard Performance Lab,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #65,Porsche Carrera Cup North America,57,porsche_991_gt3
Brickyard Performance Lab,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #70,Porsche Carrera Cup North America,59,porsche_991_gt3_2
Brickyard Performance Lab,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #17,Ginetta Junior Championship North America,56,ginetta_g40_cup
Brickyard Performance Lab,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #22,Ginetta Junior Championship North America,57,ginetta_g40_cup
Cape Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #16,USF Junior,66,formula_trainer_d
Cape Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #17,USF Junior,67,formula_trainer_d
Cape Motorsports,F-Trainer,Formula Trainer,Formula Trainer #20,F1600,70,formula_trainer
Cape Motorsports,F-Trainer,Formula Trainer,Formula Trainer #21 - J.Ramos Skin,F1600,71,formula_trainer
Cape Motorsports,F-Vee_Gen2,Formula Vee Gen2,David D'amico #77,Formula Vee North America,62,formula_vee_gen2
Cape Motorsports,F-Vee_Gen2,Formula Vee Gen2,Gabriel Andrade #99,Formula Vee North America,64,formula_vee_gen2
Catalyst Motorsports,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #3 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America",51,corvette_z06_gt3r
Catalyst Motorsports,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #14,"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America",56,porsche_992_gt3r
Catalyst Motorsports,LMP2,Oreca 07,Oreca 07 #18 (IMSA 2024),IMSA WeatherTech SportsCar Championship,55,oreca_07
Catalyst Motorsports,LMP2,Oreca 07,Oreca 07 #99 (IMSA 2024),IMSA WeatherTech SportsCar Championship,62,oreca_07
Catalyst Motorsports,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #36,IMSA Michelin Pilot Challenge,51,alpine_a110_gt4_evo
Catalyst Motorsports,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #63,IMSA Michelin Pilot Challenge,53,alpine_a110_gt4_evo
Catalyst Motorsports,GT3,BMW M6 GT3,BMW M6 GT3 #11,IMSA VP Racing SportsCar Challenge,52,bmw_m6_gt3
