team_name,category,model,livery,championship_names,livery_id,model_folder
Orion Automotive,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #88,Lamborghini Super Trofeo North America,74,lamborghini_huracan_supertrofeo_evo2
Orion Automotive,P4,MCR S2000,MCR S2000 #5,Radical Cup North America,54,mcr2000
Orion Automotive,P4,MCR S2000,MCR S2000 #6,Radical Cup North America,55,mcr2000
Palmetto State Racing,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #02,Ginetta Junior Championship North America,52,ginetta_g40_cup
Palmetto State Racing,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #05,Ginetta Junior Championship North America,53,ginetta_g40_cup
Palmetto State Racing,P4,MCR S2000,MCR S2000 #25,Radical Cup North America,70,mcr2000
Palmetto State Racing,P4,MCR S2000,MCR S2000 #26,Radical Cup North America,71,mcr2000
Pannonian Speed Group,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #8,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",58,formula_trainer_d
Pannonian Speed Group,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #9,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",59,formula_trainer_d
Pannonian Speed Group,F-Trainer,Formula Trainer,Formula Trainer #8,National Formula Ford Championship,58,formula_trainer
Pannonian Speed Group,F-Trainer,Formula Trainer,Formula Trainer #9,National Formula Ford Championship,59,formula_trainer
Pannonian Speed Group,F-Vee_Gen2,Formula Vee Gen2,Joao Ramalho #1,"Formula Vee UK, Formula Vee Germany",52,formula_vee_gen2
Pannonian Speed Group,F-Vee_Gen2,Formula Vee Gen2,Kleber Rocha #00,"Formula Vee UK, Formula Vee Germany",51,formula_vee_gen2
Pendle Hill Motorsport,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #96,Porsche Carrera Cup UK,60,porsche_991_gt3
Pendle Hill Motorsport,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #97,Porsche Carrera Cup UK,61,porsche_991_gt3
Pendle Hill Motorsport,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #22,Mini Challenge,61,mini_cooper
Pendle Hill Motorsport,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #26,Mini Challenge,62,mini_cooper
Pendle Hill Motorsport,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #27,Ginetta Junior Championship UK,59,ginetta_g40_cup
Pendle Hill Motorsport,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #28,Ginetta Junior Championship UK,60,ginetta_g40_cup
Pendle Hill Motorsport,GT1_05,Maserati MC12 GT1,Maserati MC12 GT1 #61,GT Revival Series,53,maserati_mc12_gt1
Pendle Hill Motorsport,GT1_05,Maserati MC12 GT1,Maserati MC12 GT1 #66,GT Revival Series,54,maserati_mc12_gt1
Prema Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #85,NTT IndyCar,81,formula_usa_2023
Prema Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #04,NTT IndyCar,55,formula_usa_2023
Prema Racing,F-Reiza,Formula V8 Gen3,Team Hornsey #7,"Indy NXT, Formula 2",57,formula_reiza
Prema Racing,F-Reiza,Formula V8 Gen3,Team Hornsey #8,"Indy NXT, Formula 2",58,formula_reiza
Prema Racing,F-3,Dallara F301,Furio Racing #17,"USF Pro 2000, Formula 3",53,f301
Prema Racing,F-3,Dallara F301,Furio Racing #26,"USF Pro 2000, Formula 3",54,f301
Prema Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #19,USF2000,63,formula_inter
Prema Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #2,USF2000,54,formula_inter
Prema Racing,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #12,USF Junior,62,formula_trainer_d
Prema Racing,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #13,USF Junior,63,formula_trainer_d
Prema Racing,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #98,"Intercontinental GT Challenge, GT World Challenge Europe, GT World Challenge America, GT World Challenge Sprint",57,aston_martin_vantage_gt3_evo
Prema Racing,GT3_Gen2,Aston Martin Vantage GT3 Evo,AMR Vantage GT3 Evo #999,"Intercontinental GT Challenge, GT World Challenge Europe, GT World Challenge America, GT World Challenge Sprint",58,aston_martin_vantage_gt3_evo
Racing Bulls,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,energyX Faenza #60,Formula 1,69,formula_ultimate_2024
Racing Bulls,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,energyX Faenza #98,Formula 1,70,formula_ultimate_2024
Racing Bulls,F-Reiza,Formula V8 Gen3,energyX Faenza #5,Formula 2,55,formula_reiza
Racing Bulls,F-Reiza,Formula V8 Gen3,energyX Faenza #6,Formula 2,56,formula_reiza
Racing Bulls,F-3,Dallara F309,Tibex Motorsport #31,Formula 3,61,f309
Racing Bulls,F-3,Dallara F309,V-Room Racing #25,Formula 3,60,f309
Rahal Letterman Lanigan Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #02,NTT IndyCar,53,formula_usa_2023
Rahal Letterman Lanigan Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #07,NTT IndyCar,58,formula_usa_2023
Rahal Letterman Lanigan Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #92,NTT IndyCar,82,formula_usa_2023
Rahal Letterman Lanigan Racing,F-Reiza,Formula V8 Gen3,energyX Racing #20,Indy NXT,69,formula_reiza
Rahal Letterman Lanigan Racing,F-Reiza,Formula V8 Gen3,energyX Racing #21,Indy NXT,70,formula_reiza
Rahal Letterman Lanigan Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #3a,USF2000,51,formula_inter
Rahal Letterman Lanigan Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #3b,USF2000,55,formula_inter
Red Bull Racing,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,energyX Racing #1,Formula 1,51,formula_ultimate_2024
Red Bull Racing,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,energyX Racing #6,Formula 1,52,formula_ultimate_2024
Red Bull Racing,F-Reiza,Formula V8 Gen3,energyX Racing #20,Formula 2,69,formula_reiza
Red Bull Racing,F-Reiza,Formula V8 Gen3,energyX Racing #21,Formula 2,70,formula_reiza
Red Bull Racing,F-3,Dallara F309,BR Motorsport #9,Formula 3,56,f309
Red Bull Racing,F-3,Dallara F309,Carbone G.P. #13,Formula 3,57,f309
Reinhardt Rennsport,F-3,Dallara F301,Gordini G.P. #27,Formula 3,55,f301
Reinhardt Rennsport,F-3,Dallara F301,Gordini G.P. #28,Formula 3,56,f301
Reinhardt Rennsport,F-Inter,Formula Inter MG-15,F.Inter MG-15 #20,FRECA,64,formula_inter
Reinhardt Rennsport,F-Inter,Formula Inter MG-15,F.Inter MG-15 #31,FRECA,65,formula_inter
Reinhardt Rennsport,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #14,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",64,formula_trainer_d
Reinhardt Rennsport,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #15,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",65,formula_trainer_d
Reinhardt Rennsport,F-Trainer,Formula Trainer,Formula Trainer #17,National Formula Ford Championship,67,formula_trainer
Reinhardt Rennsport,F-Trainer,Formula Trainer,Formula Trainer #18,National Formula Ford Championship,68,formula_trainer
Rennsport Global Division,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #55,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",56,porsche_991_gt3
Rennsport Global Division,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #94,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",60,porsche_991_gt3_2
Rennsport Global Division,GT4,Porsche Cayman GT4 Clubsport MR,Porsche Cayman GT4 CS MR #100,"IMSA Michelin Pilot Challenge, IMSA VP Racing SportsCar Challenge, British GT Championship",51,porsche_cayman_gt4cs
Rennsport Global Division,GT4,Porsche Cayman GT4 Clubsport MR,Porsche Cayman GT4 CS MR #101,"IMSA Michelin Pilot Challenge, IMSA VP Racing SportsCar Challenge, British GT Championship",52,porsche_cayman_gt4cs
Rennsport Global Division,LMDh,Porsche 963,Porsche 963 #7 (IMSA 2024),World Endurance Championship,53,porsche_963_gtp
Rennsport Global Division,LMDh,Porsche 963,Porsche 963 #85 (IMSA 2024),World Endurance Championship,54,porsche_963_gtp
Rennsport Global Division,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #77 (IMSA 2024),"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",52,porsche_992_gt3r
Rennsport Global Division,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #92 (IMSA 2024),"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",54,porsche_992_gt3r
Rennsport Global Division,GT4,Porsche Cayman GT4 Clubsport MR,Porsche Cayman GT4 CS MR #102,Nürburgring Langstrecken-Serie,53,porsche_cayman_gt4cs
Rennsport Global Division,GT4,Porsche Cayman GT4 Clubsport MR,Porsche Cayman GT4 CS MR #104,Nürburgring Langstrecken-Serie,54,porsche_cayman_gt4cs
Sawgrass Performance Group,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #4,USF Junior,54,formula_trainer_d
Sawgrass Performance Group,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #5,USF Junior,55,formula_trainer_d
Sawgrass Performance Group,F-Trainer,Formula Trainer,Formula Trainer #13,F1600,63,formula_trainer
Sawgrass Performance Group,F-Trainer,Formula Trainer,Formula Trainer #14,F1600,64,formula_trainer
Sawgrass Performance Group,F-Vee_Gen2,Formula Vee Gen2,Marcelo Medici #33,Formula Vee North America,59,formula_vee_gen2
Sawgrass Performance Group,F-Vee_Gen2,Formula Vee Gen2,Ollie Paludo #777,Formula Vee North America,66,formula_vee_gen2
Schwarzwald Racing Group,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #911,"Porsche Carrera Supercup, Porsche Carrera Cup North America",51,porsche_991_gt3
Schwarzwald Racing Group,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #911,"Porsche Carrera Supercup, Porsche Carrera Cup North America",51,porsche_991_gt3_2
Schwarzwald Racing Group,GT3_Gen2,Audi R8 LMS GT3 evo II,Audi R8 LMS GT3 evo II #87,"GT World Challenge Europe, GT World Challenge Sprint, Nürburgring Langstrecken-Serie",54,audi_r8_lms_gt3_evo2
Schwarzwald Racing Group,GT3_Gen2,Audi R8 LMS GT3 evo II,Audi R8 LMS GT3 evo II #28,"GT World Challenge Europe, GT World Challenge Sprint, Nürburgring Langstrecken-Serie",52,audi_r8_lms_gt3_evo2
Schwarzwald Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #15,Nürburgring Langstrecken-Serie,53,audi_r8_lms_gt4
Schwarzwald Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #24,Nürburgring Langstrecken-Serie,55,audi_r8_lms_gt4
Schwarzwald Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #20,"IMSA VP Racing SportsCar Challenge, British GT Championship",54,audi_r8_lms_gt4
Schwarzwald Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #24,"IMSA VP Racing SportsCar Challenge, British GT Championship",55,audi_r8_lms_gt4
Schwarzwald Racing Group,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #7,GT Revival Series,53,corvette_c5r
Schwarzwald Racing Group,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #50,GT Revival Series,54,corvette_c5r
Scuderia Corsa International,GT2_05,Milano GT36,Milano GT36 #00,"Ferrari Challenge North America, Ferrari Challenge Europe",62,milano_gt36
Scuderia Corsa International,GT3_Gen2,Lamborghini Huracan GT3 EVO2,Lamborghini Huracan GT3 EVO2 #19 (IMSA 2024),"GT World Challenge Europe, GT World Challenge Sprint, Nürburgring Langstrecken-Serie",51,lamborghini_huracan_gt3_evo2
Scuderia Corsa International,GT3_Gen2,Lamborghini Huracan GT3 EVO2,Lamborghini Huracan GT3 EVO2 #78 (IMSA 2024),"GT World Challenge Europe, GT World Challenge Sprint, Nürburgring Langstrecken-Serie",54,lamborghini_huracan_gt3_evo2
Scuderia Corsa International,GT4,Aston Martin Vantage GT4 Evo,AMR Vantage GT4 Evo #301,Nürburgring Langstrecken-Serie,51,aston_martin_vantage_gt4_evo
Scuderia Corsa International,GT4,Aston Martin Vantage GT4 Evo,AMR Vantage GT4 Evo #302,Nürburgring Langstrecken-Serie,52,aston_martin_vantage_gt4_evo
Scuderia Corsa International,GT2_05,Milano GT36,Milano GT36 #12,"Ferrari Challenge North America, Ferrari Challenge Europe",51,milano_gt36
Scuderia Corsa International,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #1,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",51,lamborghini_huracan_supertrofeo_evo2
Scuderia Corsa International,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #4,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",52,lamborghini_huracan_supertrofeo_evo2
Scuderia Corsa International,GT1_05,Maserati MC12 GT1,Maserati MC12 GT1 #72,GT Revival Series,55,maserati_mc12_gt1
Scuderia Corsa International,GT1_05,Maserati MC12 GT1,Maserati MC12 GT1 #86,GT Revival Series,56,maserati_mc12_gt1
Scuderia Ferrari,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Scuderia Forza #45,Formula 1,67,formula_ultimate_2024
Scuderia Ferrari,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Scuderia Forza #72,Formula 1,68,formula_ultimate_2024
Scuderia Ferrari,F-Reiza,Formula V8 Gen3,Scuderia Forza #3,Formula 2,53,formula_reiza
Scuderia Ferrari,F-Reiza,Formula V8 Gen3,Scuderia Forza #4,Formula 2,54,formula_reiza
Scuderia Ferrari,F-3,Dallara F309,Granado Racing #59,Formula 3,64,f309
Scuderia Ferrari,F-3,Dallara F309,GRNDWRK Racing #18 - R.Souza Skin,Formula 3,59,f309
Scuderia Valeriani,F-Inter,Formula Inter MG-15,F.Inter MG-15 #11,FRECA,59,formula_inter
Scuderia Valeriani,F-Inter,Formula Inter MG-15,F.Inter MG-15 #12,FRECA,60,formula_inter
Scuderia Valeriani,F-Trainer_A,Formula Trainer Advanced,Formula Trainer A #23 - N.Otten Skin,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",73,formula_trainer_d
Scuderia Valeriani,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #1,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",51,formula_trainer_d
Scuderia Valeriani,F-Trainer,Formula Trainer,Formula Trainer #11,National Formula Ford Championship,61,formula_trainer
Scuderia Valeriani,F-Trainer,Formula Trainer,Formula Trainer #12,National Formula Ford Championship,62,formula_trainer
Scuderia Valeriani,F-Vee_Gen2,Formula Vee Gen2,Levi Simoes #44,"Formula Vee UK, Formula Vee Germany",61,formula_vee_gen2
Scuderia Valeriani,F-Vee_Gen2,Formula Vee Gen2,Lucas Veloso #999,"Formula Vee UK, Formula Vee Germany",67,formula_vee_gen2
Solari Motorworks,LMP2,Oreca 07,Oreca 07 #11 (IMSA 2024),IMSA WeatherTech SportsCar Championship,54,oreca_07
Solari Motorworks,LMP2,Oreca 07,Oreca 07 #2 (IMSA 2024),IMSA WeatherTech SportsCar Championship,51,oreca_07
Solari Motorworks,GT4,Chevrolet Camaro GT4.R,Camaro GT4.R #49,IMSA Michelin Pilot Challenge,51,camaro_gt4r
Solari Motorworks,GT4,Chevrolet Camaro GT4.R,Camaro GT4.R #53,IMSA Michelin Pilot Challenge,52,camaro_gt4r
Solari Motorworks,P1Gen2,Ligier JS P320,Ligier JS P320 #15,IMSA VP Racing SportsCar Challenge,53,ligier_js_p320
Solari Motorworks,P1Gen2,Ligier JS P320,Ligier JS P320 #33,IMSA VP Racing SportsCar Challenge,54,ligier_js_p320
Solari Motorworks,P4,MCR S2000,MCR S2000 #1,Radical Cup North America,51,mcr2000
Solari Motorworks,P4,MCR S2000,MCR S2000 #27 - A.Tobin Skin,Radical Cup North America,72,mcr2000
Solari Motorworks,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #4 (IMSA 2024),"GT World Challenge America, IMSA WeatherTech SportsCar Championship",52,corvette_z06_gt3r
Solari Motorworks,GT3_Gen2,Audi R8 LMS GT3 evo II,Audi R8 LMS GT3 evo II #87,"GT World Challenge America, IMSA WeatherTech SportsCar Championship",54,audi_r8_lms_gt3_evo2
Sovereign GT Stable,LMP2_Gen1,Ligier JS P217,Ligier JS P217 #45,European Le Mans Series,53,ligier_js_p217
Sovereign GT Stable,LMDh,Alpine A424,Alpine A424 #38,World Endurance Championship,53,alpine_a424
Sovereign GT Stable,LMDh,Alpine A424,Alpine A424 #39,World Endurance Championship,54,alpine_a424
Sovereign GT Stable,GT3_Gen2,Mercedes-AMG GT3 Evo,Mercedes-AMG GT3 Evo #01,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",55,mercedes_amg_gt3_evo
Sovereign GT Stable,GT3_Gen2,Mercedes-AMG GT3 Evo,Mercedes-AMG GT3 Evo #70,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",56,mercedes_amg_gt3_evo
Sovereign GT Stable,GT4,Mercedes-AMG GT4,Mercedes-AMG GT4 #31,Nürburgring Langstrecken-Serie,51,mercedes_amg_gt4
Sovereign GT Stable,GT4,Mercedes-AMG GT4,Mercedes-AMG GT4 #33,Nürburgring Langstrecken-Serie,52,mercedes_amg_gt4
Sovereign GT Stable,GT3,Mercedes-AMG GT3,Mercedes-AMG GT3 #01,"European Le Mans Series, Michelin Le Mans Cup",51,mercedes_amg_gt3
Sovereign GT Stable,GT3,Mercedes-AMG GT3,Mercedes-AMG GT3 #09,"European Le Mans Series, Michelin Le Mans Cup",52,mercedes_amg_gt3
Sovereign GT Stable,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #27,Ginetta Junior Championship Europe,59,ginetta_g40_cup
Sovereign GT Stable,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #28,Ginetta Junior Championship Europe,60,ginetta_g40_cup
Sovereign GT Stable,P4,MCR S2000,MCR S2000 #13,Radical Cup Europe,61,mcr2000
Sovereign GT Stable,P4,MCR S2000,MCR S2000 #14,Radical Cup Europe,62,mcr2000
Sovereign GT Stable,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #12,GT Revival Series,53,dodge_viper_gts_r
Sovereign GT Stable,GT1_05,Dodge Viper GTS-R,Dodge Viper GTS-R #32,GT Revival Series,54,dodge_viper_gts_r
Sovereign GT Stable,P1Gen2,MetalMoro AJR Gen2 Honda,MM AJR Honda Gen2 #30,European Le Mans Series,53,metalmoro_ajr_gen2
Sovereign GT Stable,P1Gen2,MetalMoro AJR Gen2 Honda,MM AJR Honda Gen2 #52,European Le Mans Series,54,metalmoro_ajr_gen2
Sterling Performance Group,GT3_Gen2,Audi R8 LMS GT3 evo II,Audi R8 LMS GT3 evo II #99,"British GT Championship, GT World Challenge Europe, Nürburgring Langstrecken-Serie",55,audi_r8_lms_gt3_evo2
Sterling Performance Group,GT3_Gen2,Audi R8 LMS GT3 evo II,Audi R8 LMS GT3 evo II #181,"British GT Championship, GT World Challenge Europe, Nürburgring Langstrecken-Serie",56,audi_r8_lms_gt3_evo2
Sterling Performance Group,GT4,Ginetta G55 GT4,Ginetta G55 GT4 #13,Nürburgring Langstrecken-Serie,52,ginetta_g55_gt4_2
Sterling Performance Group,GT4,Ginetta G55 GT4,Ginetta G55 GT4 #19,Nürburgring Langstrecken-Serie,53,ginetta_g55_gt4_2
Sterling Performance Group,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #20,Porsche Carrera Cup UK,55,porsche_991_gt3_2
Sterling Performance Group,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #29,Porsche Carrera Cup UK,56,porsche_991_gt3_2
Sterling Performance Group,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #15,"Mini Challenge, IMSA Michelin Pilot Challenge",59,mini_cooper
Sterling Performance Group,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #17,"Mini Challenge, IMSA Michelin Pilot Challenge",60,mini_cooper
Sterling Performance Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #22,Ginetta Junior Championship UK,57,ginetta_g40_cup
Sterling Performance Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #25,Ginetta Junior Championship UK,58,ginetta_g40_cup
Sterling Performance Group,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #63,GT Revival Series,55,corvette_c5r
Sterling Performance Group,GT1_05,Chevrolet Corvette C5-R,Chevrolet Corvette C5-R #70,GT Revival Series,56,corvette_c5r
Stuttgart Performance Engineering,GT3_Gen2,BMW M4 GT3,BMW M4 GT3 #7,"GT World Challenge Europe, Nürburgring Langstrecken-Serie",54,bmw_m4_gt3
Stuttgart Performance Engineering,GT3_Gen2,BMW M4 GT3,BMW M4 GT3 #96 (IMSA 2024),"GT World Challenge Europe, Nürburgring Langstrecken-Serie",53,bmw_m4_gt3
Stuttgart Performance Engineering,GT4,BMW M4 GT4,BMW M4 GT4 #1,Nürburgring Langstrecken-Serie,51,bmw_m4_gt4
Stuttgart Performance Engineering,GT4,BMW M4 GT4,BMW M4 GT4 #11,Nürburgring Langstrecken-Serie,56,bmw_m4_gt4
Stuttgart Performance Engineering,GT3_Gen2,Mercedes-AMG GT3 Evo,Mercedes-AMG GT3 Evo #57 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint",52,mercedes_amg_gt3_evo
Stuttgart Performance Engineering,GT3_Gen2,Mercedes-AMG GT3 Evo,Mercedes-AMG GT3 Evo #32 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint",51,mercedes_amg_gt3_evo
